ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
3053,mountain-high-east,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-east/,2496,2,5,4,74,0,35,US Dollar,2.1,2.4,3.9,34.3769418,-117.6915242
3055,mountain-high-west,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-west/,2410,3,5,7,74,0,35,US Dollar,2.2,2.5,3.4,34.3769418,-117.6915242
2894,monarch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/monarch/,3630,5,14,12,74,45,30,US Dollar,2.7,3,3,38.5526022,-106.2939187
3094,mt-norquay-banff,North America,Canada,Alberta,http://www.skiresort.info/ski-resort/mt-norquay-banff/,2133,5.1,4.1,7.2,74,56,29,Canadian Dollar,2,3,3,51.2014951,-115.5999046
1441,granby-ranch,North America,USA,Colorado,http://www.skiresort.info/ski-resort/granby-ranch/,2804,6,10,4,74,0,44,US Dollar,2.4,2.7,3.5,40.0452206,-105.9061962
4587,stevens-pass,North America,USA,Washington State,http://www.skiresort.info/ski-resort/stevens-pass/,1750,6,18,15,74,0,50,US Dollar,2.9,3.2,3.5,47.7462223,-121.0859328
3597,pico-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/pico-mountain/,1209,6.8,15,8.6,74,0,57,US Dollar,2.8,3.1,3.8,43.6621499,-72.842512
520,bolton-valley,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bolton-valley/,960,15,10,5,74,0,64,US Dollar,3,4,2,44.42099,-72.850323
987,devils-glen,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/devils-glen/,510,1,1,1,75,0,47,Canadian Dollar,1.5,1.9,3,44.3610299,-80.2071551
1359,georgian-peaks-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/georgian-peaks-club/,430,2,6,1,75,60,60,Canadian Dollar,2,2.3,3.4,44.5350638,-80.3788678
369,beaver-valley-ski-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/beaver-valley-ski-club/,410,3,8,4,75,0,50,Canadian Dollar,2.2,2.5,3,44.357747,-80.544822
926,cypress-mountain,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/cypress-mountain/,1440,6.6,22,22.4,75,54,34,Canadian Dollar,3,4,4,49.3388888,-122.8077777
4080,santa-fe,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/santa-fe/,3679,9,15,10,75,60,52,US Dollar,2.8,3.2,3,35.6869752,-105.937799
2644,loveland,North America,USA,Colorado,http://www.skiresort.info/ski-resort/loveland/,3871,12,38,43,75,0,32,US Dollar,3,4,3,40.3977612,-105.0749801
707,cannon-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cannon-mountain/,1243,15,25,10,75,62,53,US Dollar,3.2,3.5,3.2,44.1564536,-71.6984172
1785,holiday-valley,North America,USA,New York,http://www.skiresort.info/ski-resort/holiday-valley/,685,16,13,19,75,0,59,US Dollar,3,3.4,3.5,42.2577157,-78.6768496
